TreeDepth,Pid,Process,Base,InLoad,InInit,InMem,MappedPath
0,636,services.exe,0x7ff7ea850000,True,False,True,\\Windows\\System32\\services.exe
0,636,services.exe,0x22d21170000,False,False,False,\\Windows\\System32\\en-US\\services.exe.mui
0,660,lsass.exe,0x7ff68a6f0000,True,False,True,\\Windows\\System32\\lsass.exe
0,660,lsass.exe,0x7ffeeb670000,True,True,True,\\Windows\\System32\\kernel32.dll
0,660,lsass.exe,0x7ffeeaab0000,True,True,True,\\Windows\\System32\\bcryptprimitives.dll
0,660,lsass.exe,0x7ffeeaff0000,True,True,True,\\Windows\\System32\\user32.dll
0,660,lsass.exe,0x7ffeec730000,True,True,True,\\Windows\\System32\\gdi32.dll
0,660,lsass.exe,0x7ffeecad0000,True,True,True,N/A
0,764,svchost.exe,0x7ff6be0c0000,True,False,True,N/A
0,764,svchost.exe,0x7ffee92c0000,False,False,False,\\Windows\\System32\\rsaenh.dll
0,764,svchost.exe,0x7ffeecad0000,True,True,True,N/A
0,884,svchost.exe,0x1f62f340000,False,False,False,N/A
0,884,svchost.exe,0x7ffee8230000,True,True,True,\\Windows\\System32\\rpcss.dll
0,884,svchost.exe,0x7ffeeade0000,True,True,True,\\Windows\\System32\\rpcrt4.dll
0,884,svchost.exe,0x7ffeea570000,True,True,True,\\Windows\\System32\\KernelBase.dll
0,884,svchost.exe,0x7ffeeb310000,True,True,True,\\Windows\\System32\\combase.dll
0,968,dwm.exe,0x7ffedd3f0000,False,False,False,\\Windows\\System32\\wuceffects.dll
0,360,svchost.exe,0x255814a0000,False,False,False,\\Windows\\System32\\en-US\\qmgr.dll.mui
0,360,svchost.exe,0x255f8a00000,False,False,False,N/A
0,360,svchost.exe,0x7ff6be0c0000,True,False,True,N/A
0,360,svchost.exe,0x7ffed6c40000,True,True,True,N/A
0,360,svchost.exe,0x7ffeddd30000,True,True,True,\\Windows\\System32\\qmgr.dll
0,360,svchost.exe,0x7ffee5890000,True,True,True,\\Windows\\System32\\profsvc.dll
0,360,svchost.exe,0x7ffeea570000,True,True,True,\\Windows\\System32\\KernelBase.dll
0,360,svchost.exe,0x7ffeeb310000,True,True,True,\\Windows\\System32\\combase.dll
0,1052,svchost.exe,0x7ff6be0c0000,True,False,True,N/A
0,1052,svchost.exe,0x7ffeeaab0000,True,True,True,\\Windows\\System32\\bcryptprimitives.dll
0,1196,svchost.exe,0x7ffeeb670000,False,False,False,\\Windows\\System32\\kernel32.dll
0,1536,svchost.exe,0x7ffee40c0000,True,True,True,\\Windows\\System32\\MMDevAPI.dll
0,1708,svchost.exe,0x1b82f200000,False,False,False,N/A
0,1708,svchost.exe,0x7ffedd730000,False,False,False,N/A
0,1708,svchost.exe,0x7ffedfe20000,False,False,False,\\Windows\\System32\\Windows.StateRepository.dll
0,1708,svchost.exe,0x7ffeeade0000,False,False,False,\\Windows\\System32\\rpcrt4.dll
0,1708,svchost.exe,0x7ffeea570000,False,False,False,\\Windows\\System32\\KernelBase.dll
0,1708,svchost.exe,0x7ffeeb670000,False,False,False,\\Windows\\System32\\kernel32.dll
0,1708,svchost.exe,0x7ffeeb310000,False,False,False,\\Windows\\System32\\combase.dll
0,1708,svchost.exe,0x7ffeec760000,False,False,False,\\Windows\\System32\\msvcrt.dll
0,1708,svchost.exe,0x7ffeecad0000,False,False,False,N/A
0,1880,svchost.exe,0x7ffeecad0000,False,False,False,N/A
0,2264,vmtoolsd.exe,0x7ff7533a0000,True,False,True,\\Program Files\\VMware\\VMware Tools\\vmtoolsd.exe
0,2264,vmtoolsd.exe,0x7ffee9620000,True,True,True,\\Windows\\System32\\IPHLPAPI.DLL
0,2264,vmtoolsd.exe,0x7ffeea0c0000,True,True,True,N/A
0,2364,Sysmon64.exe,0x7ffeeb670000,True,True,True,\\Windows\\System32\\kernel32.dll
0,2616,WmiPrvSE.exe,0x2276ec50000,False,False,False,N/A
0,2616,WmiPrvSE.exe,0x7ffed7050000,True,False,True,\\Windows\\System32\\wbem\\cimwin32.dll
0,2616,WmiPrvSE.exe,0x7ffecb000000,False,False,False,\\Windows\\System32\\wmitomi.dll
0,3220,sihost.exe,0x266b3c60000,False,False,False,N/A
0,3220,sihost.exe,0x7ff7cc640000,True,False,True,\\Windows\\System32\\sihost.exe
0,3220,sihost.exe,0x7ffed6400000,False,False,False,\\Windows\\System32\\ActivationManager.dll
0,3220,sihost.exe,0x7ffeea570000,True,True,True,\\Windows\\System32\\KernelBase.dll
0,3220,sihost.exe,0x7ffeeade0000,True,True,True,\\Windows\\System32\\rpcrt4.dll
0,3220,sihost.exe,0x7ffeeb310000,True,True,True,\\Windows\\System32\\combase.dll
0,3720,explorer.exe,0x4c80000,False,False,False,\\Windows\\System32\\en-US\\windows.storage.dll.mui
0,3720,explorer.exe,0x8e70000,False,False,False,N/A
0,3720,explorer.exe,0x7ff677df0000,True,False,True,N/A
0,3720,explorer.exe,0x7ffecadd0000,False,False,False,\\Windows\\System32\\ExplorerFrame.dll
0,3720,explorer.exe,0x7ffed9aa0000,False,False,False,\\Windows\\System32\\CapabilityAccessManagerClient.dll
0,3720,explorer.exe,0x7ffee8380000,False,False,False,\\Windows\\System32\\windows.storage.dll
