TreeDepth,PID,Process,Start VPN,End VPN,Tag,Protection,CommitCharge,PrivateMemory,File output,Notes,Hexdump,Disasm
0,2320,MsMpEng.exe,0x23754b80000,0x23754b80fff,VadS,PAGE_EXECUTE_READWRITE,1,1,Disabled,N/A,"
02 00 00 f9 02 9e 80 2f 0a 28 40 cd d6 9d 7b e9 ......./.(@...{.
ff 0c 69 a9 63 fb 0c ff 01 3d 02 3b 00 21 40 0d ..i.c....=.;.!@.
d1 81 7b f9 f8 01 08 47 01 f5 b9 19 f9 06 3b 01 ..{....G......;.
2f 00 01 a0 6e 3b 03 6d 36 48 0c 10 11 4c de 3d /...n;.m6H...L.=","
0x23754b80000:	add	al, byte ptr [rax]
0x23754b80002:	add	cl, bh
0x23754b80004:	add	bl, byte ptr [rsi + 0x280a2f80]
0x23754b8000a:	int	0xd6
0x23754b8000d:	popfq	
0x23754b8000e:	jnp	0x23754b7fff9
0x23754b80010:	dec	dword ptr [rcx + rbp*2]
0x23754b80013:	test	eax, 0xff0cfb63
0x23754b80018:	add	dword ptr [rip + 0x21003b02], edi
0x23754b8001e:	or	eax, 0xf97b81d1
0x23754b80024:	clc	
0x23754b80025:	add	dword ptr [rax], ecx
0x23754b80027:	add	r13d, r14d
0x23754b8002a:	mov	ecx, 0x3b06f919
0x23754b8002f:	add	dword ptr [rdi], ebp
0x23754b80031:	add	byte ptr [rcx], al
0x23754b80033:	movabs	al, byte ptr [0x100c48366d033b6e]
0x23754b8003c:	adc	dword ptr [rsi + rbx*8 + 0x3d], ecx"
0,2320,MsMpEng.exe,0x23756ea0000,0x23756ea0fff,VadS,PAGE_EXECUTE_READWRITE,1,1,Disabled,N/A,"
00 7c 02 80 7c 01 70 7c 01 10 3d 00 7c 02 70 3c .|..|.p|..=.|.p<
00 f0 7c 01 17 07 57 00 0f ff 8a 07 00 20 f3 7b ..|...W...... .{
00 00 00 00 51 b6 9e 6d 61 fe e5 fb aa bf e4 e4 ....Q..ma.......
81 41 4a 46 49 46 36 32 31 32 35 46 44 39 46 36 .AJFIF62125FD9F6","
0x23756ea0000:	add	byte ptr [rdx + rax - 0x80], bh
0x23756ea0004:	jl	0x23756ea0007
0x23756ea0006:	jo	0x23756ea0084
0x23756ea0008:	add	dword ptr [rax], edx
0x23756ea000a:	cmp	eax, 0x70027c00
0x23756ea000f:	cmp	al, 0"
0,2320,MsMpEng.exe,0x23756eb0000,0x23756eb0fff,VadS,PAGE_EXECUTE_READWRITE,1,1,Disabled,N/A,"
00 00 00 00 0d 66 69 72 00 50 2f 5e a6 01 00 00 .....fir.P/^....
00 90 3d b6 45 39 00 00 00 00 00 00 00 00 00 00 ..=.E9..........
88 23 2f 5e a6 01 00 00 51 e2 ed c4 1a 2b 00 00 .#/^....Q....+..
90 ff 3a b6 45 39 00 00 90 ff 3a b6 45 39 00 00 ..:.E9....:.E9..","
0x23756eb0000:	add	byte ptr [rax], al
0x23756eb0002:	add	byte ptr [rax], al
0x23756eb0004:	or	eax, 0x726966
0x23756eb0009:	push	rax"
0,2320,MsMpEng.exe,0x23756f90000,0x23756f90fff,VadS,PAGE_EXECUTE_READWRITE,1,1,Disabled,N/A,"
e9 af f8 ff ff 4c 8d 7c 24 38 41 b8 20 00 00 00 .....L.|$8A. ...
4c 89 fa e8 88 8e 86 05 49 8b 07 49 8b 4f 08 48 L.......I..I.O.H
89 01 48 8d 15 17 ac 3b 03 48 89 51 08 b9 03 00 ..H....;.H.Q....
00 00 e9 9f f8 ff ff 41 0f b6 cf 0f b6 00 89 c2 .......A........","
0x23756f90000:	jmp	0x23756f8f8b4
0x23756f90005:	lea	r15, [rsp + 0x38]
0x23756f9000a:	mov	r8d, 0x20
0x23756f90010:	mov	rdx, r15
0x23756f90013:	call	0x2375c7f8ea0
0x23756f90018:	mov	rax, qword ptr [r15]
0x23756f9001b:	mov	rcx, qword ptr [r15 + 8]
0x23756f9001f:	mov	qword ptr [rcx], rax
0x23756f90022:	lea	rdx, [rip + 0x33bac17]
0x23756f90029:	mov	qword ptr [rcx + 8], rdx
0x23756f9002d:	mov	ecx, 3
0x23756f90032:	jmp	0x23756f8f8d6
0x23756f90037:	movzx	ecx, r15b
0x23756f9003b:	movzx	eax, byte ptr [rax]
0x23756f9003e:	mov	edx, eax"
0,2320,MsMpEng.exe,0x23756ef0000,0x23756ef1fff,VadS,PAGE_EXECUTE_READWRITE,2,1,Disabled,N/A,"
00 00 00 00 0d 66 69 72 00 50 2f 5e a6 01 00 00 .....fir.P/^....
00 90 3d b6 45 39 00 00 00 00 00 00 00 00 00 00 ..=.E9..........
88 23 2f 5e a6 01 00 00 51 e2 ed c4 1a 2b 00 00 .#/^....Q....+..
90 ff 3a b6 45 39 00 00 90 ff 3a b6 45 39 00 00 ..:.E9....:.E9..","
0x23756ef0000:	add	byte ptr [rax], al
0x23756ef0002:	add	byte ptr [rax], al
0x23756ef0004:	or	eax, 0x726966
0x23756ef0009:	push	rax"
0,2320,MsMpEng.exe,0x23756f80000,0x23756f82fff,VadS,PAGE_EXECUTE_READWRITE,3,1,Disabled,N/A,"
84 20 00 00 83 6d 03 00 84 20 00 00 84 6d 03 00 . ...m... ...m..
84 20 00 00 85 6d 03 00 84 20 00 00 86 6d 03 00 . ...m... ...m..
84 20 00 00 87 6d 03 00 84 20 00 00 88 6d 03 00 . ...m... ...m..
84 20 00 00 89 6d 03 00 84 20 00 00 8a 6d 03 00 . ...m... ...m..","
0x23756f80000:	test	byte ptr [rax], ah
0x23756f80002:	add	byte ptr [rax], al
0x23756f80004:	sub	dword ptr [rbp + 3], 0
0x23756f80008:	test	byte ptr [rax], ah
0x23756f8000a:	add	byte ptr [rax], al
0x23756f8000c:	test	byte ptr [rbp + 3], ch
0x23756f8000f:	add	byte ptr [rax + riz + 0x6d850000], al
0x23756f80016:	add	eax, dword ptr [rax]
0x23756f80018:	test	byte ptr [rax], ah
0x23756f8001a:	add	byte ptr [rax], al
0x23756f8001c:	xchg	byte ptr [rbp + 3], ch
0x23756f8001f:	add	byte ptr [rax + riz + 0x6d870000], al
0x23756f80026:	add	eax, dword ptr [rax]
0x23756f80028:	test	byte ptr [rax], ah
0x23756f8002a:	add	byte ptr [rax], al
0x23756f8002c:	mov	byte ptr [rbp + 3], ch
0x23756f8002f:	add	byte ptr [rax + riz + 0x6d890000], al
0x23756f80036:	add	eax, dword ptr [rax]
0x23756f80038:	test	byte ptr [rax], ah
0x23756f8003a:	add	byte ptr [rax], al
0x23756f8003c:	mov	ch, byte ptr [rbp + 3]"
0,2320,MsMpEng.exe,0x23757710000,0x2375780ffff,VadS,PAGE_EXECUTE_READWRITE,256,1,Disabled,N/A,"
b9 c4 00 00 04 00 00 4c 0c 00 00 00 4c 0d 00 00 .......L....L...
00 4c 0e 00 00 00 4f 0f 00 00 00 e4 c1 01 00 00 .L....O.........
0c 06 00 00 00 19 9c 40 00 00 00 99 17 00 00 00 .......@........
be 10 00 00 00 e6 4c 11 00 00 00 e9 c4 01 00 03 ......L.........","
0x23757710000:	mov	ecx, 0x40000c4
0x23757710005:	add	byte ptr [rax], al
0x23757710007:	or	al, 0
0x2375771000a:	add	byte ptr [rax], al
0x2375771000c:	or	rax, 0x4c000000"
0,4556,SearchApp.exe,0x17cf9910000,0x17cf992ffff,VadS,PAGE_EXECUTE_READWRITE,6,1,Disabled,N/A,"
8b 84 24 40 01 00 00 41 c6 06 32 48 f7 d8 0f 80 ..$@...A..2H....
38 f8 ff ff 48 8d 8c 24 40 01 00 00 e8 7f 0b a3 8...H..$@.......
ff e9 26 f8 ff ff 41 0f 10 44 24 60 41 0f 10 4c ..&...A..D$`A..L
24 70 41 0f 10 94 24 80 00 00 00 41 0f 10 9c 24 $pA...$....A...$","
0x17cf9910000:	mov	eax, dword ptr [rsp + 0x140]
0x17cf9910007:	mov	byte ptr [r14], 0x32
0x17cf991000b:	neg	rax
0x17cf991000e:	jo	0x17cf990f84c
0x17cf9910014:	lea	rcx, [rsp + 0x140]
0x17cf991001c:	call	0x17cf9340ba0
0x17cf9910021:	jmp	0x17cf990f84c
0x17cf9910026:	movups	xmm0, xmmword ptr [r12 + 0x60]
0x17cf991002c:	movups	xmm1, xmmword ptr [r12 + 0x70]
0x17cf9910032:	movups	xmm2, xmmword ptr [r12 + 0x80]"
0,4556,SearchApp.exe,0x17cfaa90000,0x17cfaaf3fff,VadS,PAGE_EXECUTE_READWRITE,1,1,Disabled,N/A,"
83 19 b5 db ef 9c cc 36 01 00 00 00 00 00 00 00 .......6........
88 c4 54 eb fe 7f 00 00 00 00 00 00 00 00 00 00 ..T.............
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................
90 e3 8d d8 fe 7f 00 00 00 00 00 02 00 00 00 00 ................","
0x17cfaa90000:	sbb	dword ptr [rcx], -0x4b
0x17cfaa90003:	fucomi	st(7)
0x17cfaa90005:	pushfq	
0x17cfaa90006:	int3	
0x17cfaa90007:	add	dword ptr ss:[rax], eax
0x17cfaa9000a:	add	byte ptr [rax], al
0x17cfaa9000c:	add	byte ptr [rax], al
0x17cfaa9000e:	add	byte ptr [rax], al
0x17cfaa90010:	mov	ah, al
0x17cfaa90012:	push	rsp
0x17cfaa90013:	jmp	0x17cfaa90013
0x17cfaa90015:	jg	0x17cfaa90017
0x17cfaa90017:	add	byte ptr [rax], al
0x17cfaa90019:	add	byte ptr [rax], al
0x17cfaa9001b:	add	byte ptr [rax], al
0x17cfaa9001d:	add	byte ptr [rax], al
0x17cfaa9001f:	add	byte ptr [rax], al
0x17cfaa90021:	add	byte ptr [rax], al
0x17cfaa90023:	add	byte ptr [rax], al
0x17cfaa90025:	add	byte ptr [rax], al
0x17cfaa90027:	add	byte ptr [rax], al
0x17cfaa90029:	add	byte ptr [rax], al
0x17cfaa9002b:	add	byte ptr [rax], al
0x17cfaa9002d:	add	byte ptr [rax], al
0x17cfaa9002f:	add	byte ptr [rax - 0x127721d], dl
0x17cfaa90035:	jg	0x17cfaa90037
0x17cfaa90037:	add	byte ptr [rax], al
0x17cfaa90039:	add	byte ptr [rax], al
0x17cfaa9003b:	add	al, byte ptr [rax]
0x17cfaa9003d:	add	byte ptr [rax], al"
0,8908,firefox.exe,0x100000,0x10ffff,Vad ,PAGE_EXECUTE_READ,0,0,Disabled,N/A,"
9f 3b 05 00 00 28 bc cc 4e f7 ff 03 00 28 dc 85 .;...(..N....(..
4c 8b d1 b8 28 00 00 00 f6 04 25 08 03 fe 7f 01 L...(.....%.....
ff 25 00 00 00 00 a0 c2 b6 ec fe 7f 00 00 00 00 .%..............
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................","
0x100000:	lahf	
0x100001:	cmp	eax, dword ptr [rip - 0x43d80000]
0x100007:	int3	
0x100008:	idiv	rdi
0x10000b:	add	eax, dword ptr [rax]
0x10000d:	sub	ah, bl
0x10000f:	test	dword ptr [rbx + rcx*4 - 0x2f], ecx
0x100013:	mov	eax, 0x28
0x100018:	test	byte ptr [0x7ffe0308], 1
0x100020:	jmp	qword ptr [rip]
0x100026:	movabs	al, byte ptr [0x7ffeecb6c2]
0x10002f:	add	byte ptr [rax], al
0x100031:	add	byte ptr [rax], al
0x100033:	add	byte ptr [rax], al
0x100035:	add	byte ptr [rax], al
0x100037:	add	byte ptr [rax], al
0x100039:	add	byte ptr [rax], al
0x10003b:	add	byte ptr [rax], al
0x10003d:	add	byte ptr [rax], al"
