TreeDepth,Offset,Order,PID,Start,State,Type,Name,Display,Binary,Binary (Registry),Dll
0,0x22d2123d9a0,112,3892,SERVICE_AUTO_START,SERVICE_RUNNING,SERVICE_WIN32_SHARE_PROCESS,DoSvc,Delivery Optimization,C:\\Windows\\System32\\svchost.exe -k NetworkService -p,%SystemRoot%\\System32\\svchost.exe -k NetworkService -p,-
0,0x22d2123d9b0,111,1392,SERVICE_AUTO_START,SERVICE_RUNNING,SERVICE_WIN32_SHARE_PROCESS,Dnscache,DNS Client,C:\\Windows\\System32\\svchost.exe -k NetworkService -p,%SystemRoot%\\system32\\svchost.exe -k NetworkService -p,%SystemRoot%\\System32\\dnsrslvr.dll
0,0x22d2123d7e0,110,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_WIN32_SHARE_PROCESS,dmwappushservice,Device Management Wireless Application Protocol (WAP) Push message Routing Service,N/A,%SystemRoot%\\system32\\svchost.exe -k netsvcs -p,%SystemRoot%\\system32\\dmwappushsvc.dll
0,0x22d2123d610,109,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_KERNEL_DRIVER,dmvsc,dmvsc,N/A,\\SystemRoot\\System32\\drivers\\dmvsc.sys,-
0,0x22d21238e00,108,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_WIN32_OWN_PROCESS,DmEnrollmentSvc,Device Management Enrollment Service,N/A,%systemroot%\\system32\\svchost.exe -k netsvcs -p,%systemroot%\\system32\\Windows.Internal.Management.dll
0,0x22d2123d270,107,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_WIN32_SHARE_PROCESS,DisplayEnhancementService,Display Enhancement Service,N/A,%SystemRoot%\\system32\\svchost.exe -k LocalSystemNetworkRestricted -p,%SystemRoot%\\system32\\Microsoft.Graphics.Display.DisplayEnhancementService.dll
0,0x22d2123dd50,106,1196,SERVICE_AUTO_START,SERVICE_RUNNING,SERVICE_WIN32_SHARE_PROCESS,DispBrokerDesktopSvc,Display Policy Service,C:\\Windows\\system32\\svchost.exe -k LocalService -p,%SystemRoot%\\system32\\svchost.exe -k LocalService -p,%SystemRoot%\\System32\\DispBroker.Desktop.dll
0,0x22d2123cb30,105,N/A,SERVICE_BOOT_START,SERVICE_RUNNING,SERVICE_KERNEL_DRIVER,disk,disk,\\Driver\\disk,System32\\drivers\\disk.sys,-
0,0x22d21237fc0,104,N/A,SERVICE_AUTO_START,SERVICE_START_PENDING,SERVICE_WIN32_OWN_PROCESS,DiagTrack,Connected User Experiences and Telemetry,N/A,%SystemRoot%\\System32\\svchost.exe -k utcsvc -p,%SystemRoot%\\system32\\diagtrack.dll
0,0x22d2123d440,103,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_WIN32_SHARE_PROCESS,diagsvc,Diagnostic Execution Service,N/A,%SystemRoot%\\System32\\svchost.exe -k diagnostics,%systemroot%\\system32\\DiagSvc.dll
