TreeDepth,Pid,Process,Base,InLoad,InInit,InMem,MappedPath
0,660,lsass.exe,0x1b401660000,False,False,False,N/A
0,764,svchost.exe,0x7ff6be0c0000,True,False,True,\\Windows\\System32\\svchost.exe
0,796,fontdrvhost.ex,0x5eacd80000,False,False,False,N/A
0,884,svchost.exe,0x1f62f340000,False,False,False,\\Windows\\System32\\en-US\\KernelBase.dll.mui
0,884,svchost.exe,0x7ffee8230000,True,True,True,\\Windows\\System32\\rpcss.dll
0,884,svchost.exe,0x7ffeeade0000,True,True,True,N/A
0,884,svchost.exe,0x7ffeea570000,True,True,True,N/A
0,884,svchost.exe,0x7ffeeb310000,True,True,True,N/A
0,360,svchost.exe,0x7ff6be0c0000,True,False,True,\\Windows\\System32\\svchost.exe
0,360,svchost.exe,0x7ffed3190000,True,True,True,\\Windows\\System32\\vaultcli.dll
0,360,svchost.exe,0x7ffed94a0000,True,True,True,\\Windows\\System32\\wbem\\wbemcore.dll
0,360,svchost.exe,0x7ffee6d10000,True,True,True,\\Windows\\System32\\WinTypes.dll
0,360,svchost.exe,0x7ffeeade0000,True,True,True,N/A
0,360,svchost.exe,0x7ffeea4c0000,True,True,True,N/A
0,360,svchost.exe,0x7ffeea570000,True,True,True,N/A
0,360,svchost.exe,0x7ffeeb670000,True,True,True,N/A
0,360,svchost.exe,0x7ffeeb190000,True,True,True,N/A
0,360,svchost.exe,0x7ffeeb310000,True,True,True,N/A
0,360,svchost.exe,0x7ffeec760000,True,True,True,N/A
0,360,svchost.exe,0x7ffeecad0000,True,True,True,N/A
0,680,svchost.exe,0x1c9d5bd0000,False,False,False,\\Windows\\System32\\en-US\\windows.storage.dll.mui
0,680,svchost.exe,0x7ffee8380000,True,True,True,\\Windows\\System32\\windows.storage.dll
0,680,svchost.exe,0x7ffeeb310000,True,True,True,N/A
0,1052,svchost.exe,0x7ff6be0c0000,True,False,True,\\Windows\\System32\\svchost.exe
0,1052,svchost.exe,0x7ffeeaab0000,True,True,True,\\Windows\\System32\\bcryptprimitives.dll
0,1536,svchost.exe,0x7ffee40c0000,True,True,True,\\Windows\\System32\\MMDevAPI.dll
0,2264,vmtoolsd.exe,0x7ffee9620000,True,True,True,\\Windows\\System32\\IPHLPAPI.DLL
0,2320,MsMpEng.exe,0x23728a00000,False,False,False,N/A
0,2616,WmiPrvSE.exe,0x2276ec50000,False,False,False,\\Windows\\System32\\wbem\\en-US\\cimwin32.dll.mui
0,2616,WmiPrvSE.exe,0x7ffed7050000,True,True,True,\\Windows\\System32\\wbem\\cimwin32.dll
0,2616,WmiPrvSE.exe,0x7ffeded40000,True,True,True,\\Windows\\System32\\samcli.dll
0,3220,sihost.exe,0x266b3c60000,False,False,False,\\Windows\\System32\\en-US\\KernelBase.dll.mui
0,3220,sihost.exe,0x7ff7cc640000,True,False,True,\\Windows\\System32\\sihost.exe
0,3220,sihost.exe,0x7ffed6400000,True,True,True,\\Windows\\System32\\ActivationManager.dll
