TreeDepth,Offset,Proto,LocalAddr,LocalPort,ForeignAddr,ForeignPort,State,PID,Owner,Created
0,0xe38612a8b390,TCPv4,0.0.0.0,135,0.0.0.0,0,LISTENING,884,svchost.exe,2026-03-26 21:21:13.000000 UTC
0,0xe38612a8b390,TCPv6,::,135,::,0,LISTENING,884,svchost.exe,2026-03-26 21:21:13.000000 UTC
0,0xe38612a8a890,TCPv4,0.0.0.0,135,0.0.0.0,0,LISTENING,884,svchost.exe,2026-03-26 21:21:13.000000 UTC
0,0xe386169cb9f0,TCPv4,0.0.0.0,445,0.0.0.0,0,LISTENING,4,System,2026-03-26 21:21:15.000000 UTC
0,0xe386169cb9f0,TCPv6,::,445,::,0,LISTENING,4,System,2026-03-26 21:21:15.000000 UTC
0,0xe386169cbb50,TCPv4,0.0.0.0,5040,0.0.0.0,0,LISTENING,1196,svchost.exe,2026-03-26 21:21:22.000000 UTC
0,0xe386175ca730,TCPv4,0.0.0.0,7680,0.0.0.0,0,LISTENING,7396,svchost.exe,2026-03-27 01:40:28.000000 UTC
0,0xe386175ca730,TCPv6,::,7680,::,0,LISTENING,7396,svchost.exe,2026-03-27 01:40:28.000000 UTC
0,0xe38612a8a470,TCPv4,0.0.0.0,49664,0.0.0.0,0,LISTENING,660,lsass.exe,2026-03-26 21:21:13.000000 UTC
0,0xe38612a8a470,TCPv6,::,49664,::,0,LISTENING,660,lsass.exe,2026-03-26 21:21:13.000000 UTC
0,0xe38612a8b7b0,TCPv4,0.0.0.0,49664,0.0.0.0,0,LISTENING,660,lsass.exe,2026-03-26 21:21:13.000000 UTC
0,0xe38612a8b230,TCPv4,0.0.0.0,49665,0.0.0.0,0,LISTENING,496,wininit.exe,2026-03-26 21:21:13.000000 UTC
0,0xe38612a8b230,TCPv6,::,49665,::,0,LISTENING,496,wininit.exe,2026-03-26 21:21:13.000000 UTC
0,0xe38612a8acb0,TCPv4,0.0.0.0,49665,0.0.0.0,0,LISTENING,496,wininit.exe,2026-03-26 21:21:13.000000 UTC
0,0xe38612a8ba70,TCPv4,0.0.0.0,49666,0.0.0.0,0,LISTENING,1052,svchost.exe,2026-03-26 21:21:14.000000 UTC
0,0xe38612a8ba70,TCPv6,::,49666,::,0,LISTENING,1052,svchost.exe,2026-03-26 21:21:14.000000 UTC
0,0xe38612a8a310,TCPv4,0.0.0.0,49666,0.0.0.0,0,LISTENING,1052,svchost.exe,2026-03-26 21:21:14.000000 UTC
0,0xe38612a8a050,TCPv4,0.0.0.0,49667,0.0.0.0,0,LISTENING,360,svchost.exe,2026-03-26 21:21:14.000000 UTC
0,0xe38612a8a050,TCPv6,::,49667,::,0,LISTENING,360,svchost.exe,2026-03-26 21:21:14.000000 UTC
0,0xe38612a8be90,TCPv4,0.0.0.0,49667,0.0.0.0,0,LISTENING,360,svchost.exe,2026-03-26 21:21:14.000000 UTC
0,0xe386169cbcb0,TCPv4,0.0.0.0,49668,0.0.0.0,0,LISTENING,1820,spoolsv.exe,2026-03-26 21:21:15.000000 UTC
0,0xe386169cbcb0,TCPv6,::,49668,::,0,LISTENING,1820,spoolsv.exe,2026-03-26 21:21:15.000000 UTC
0,0xe386169cc0d0,TCPv4,0.0.0.0,49668,0.0.0.0,0,LISTENING,1820,spoolsv.exe,2026-03-26 21:21:15.000000 UTC
0,0xe386169cc230,TCPv4,0.0.0.0,49669,0.0.0.0,0,LISTENING,636,services.exe,2026-03-26 21:21:16.000000 UTC
0,0xe386169cc230,TCPv6,::,49669,::,0,LISTENING,636,services.exe,2026-03-26 21:21:16.000000 UTC
0,0xe386169cce90,TCPv4,0.0.0.0,49669,0.0.0.0,0,LISTENING,636,services.exe,2026-03-26 21:21:16.000000 UTC
0,0xe386120abb50,TCPv4,0.0.0.0,49670,0.0.0.0,0,LISTENING,2080,svchost.exe,2026-03-26 21:21:17.000000 UTC
0,0xe386120abb50,TCPv6,::,49670,::,0,LISTENING,2080,svchost.exe,2026-03-26 21:21:17.000000 UTC
0,0xe386120ab470,TCPv4,0.0.0.0,49670,0.0.0.0,0,LISTENING,2080,svchost.exe,2026-03-26 21:21:17.000000 UTC
0,0xe38616e19300,UDPv4,0.0.0.0,500,*,0,,360,svchost.exe,2026-03-26 21:21:15.000000 UTC
0,0xe38616e19300,UDPv6,::,500,*,0,,360,svchost.exe,2026-03-26 21:21:15.000000 UTC
0,0xe38616e16bf0,UDPv4,0.0.0.0,500,*,0,,360,svchost.exe,2026-03-26 21:21:15.000000 UTC
0,0xe38616fa73b0,UDPv6,::1,1900,*,0,,4220,svchost.exe,2026-03-26 21:21:37.000000 UTC
0,0xe38616fa65a0,UDPv4,127.0.0.1,1900,*,0,,4220,svchost.exe,2026-03-26 21:21:37.000000 UTC
0,0xe38616e173c0,UDPv4,0.0.0.0,4500,*,0,,360,svchost.exe,2026-03-26 21:21:15.000000 UTC
0,0xe38616e173c0,UDPv6,::,4500,*,0,,360,svchost.exe,2026-03-26 21:21:15.000000 UTC
0,0xe38616e17230,UDPv4,0.0.0.0,4500,*,0,,360,svchost.exe,2026-03-26 21:21:15.000000 UTC
0,0xe3861765c350,UDPv4,0.0.0.0,5050,*,0,,1196,svchost.exe,2026-03-26 21:21:21.000000 UTC
0,0xe38616f8c470,UDPv4,127.0.0.1,49664,*,0,,360,svchost.exe,2026-03-26 21:21:16.000000 UTC
0,0xe38616fa3b70,UDPv6,::1,49665,*,0,,4220,svchost.exe,2026-03-26 21:21:37.000000 UTC
0,0xe38616fa4660,UDPv4,127.0.0.1,49666,*,0,,4220,svchost.exe,2026-03-26 21:21:37.000000 UTC

