TreeDepth,PID,Process,Start VPN,End VPN,Tag,Protection,CommitCharge,PrivateMemory,File output,Notes,Hexdump,Disasm
0,2320,MsMpEng.exe,0x237132e0000,0x237133dffff,VadS,PAGE_EXECUTE_READWRITE,256,1,Disabled,N/A,"
__ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ ................
__ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ ................
__ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ ................
__ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ ................","
0x237132e0000:	add	byte ptr [rax], al
0x237132e0002:	add	byte ptr [rax], al
0x237132e0004:	add	byte ptr [rax], al
0x237132e0006:	add	byte ptr [rax], al
0x237132e0008:	add	byte ptr [rax], al
0x237132e000a:	add	byte ptr [rax], al
0x237132e000c:	add	byte ptr [rax], al
0x237132e000e:	add	byte ptr [rax], al
0x237132e0010:	add	byte ptr [rax], al
0x237132e0012:	add	byte ptr [rax], al
0x237132e0014:	add	byte ptr [rax], al
0x237132e0016:	add	byte ptr [rax], al
0x237132e0018:	add	byte ptr [rax], al
0x237132e001a:	add	byte ptr [rax], al
0x237132e001c:	add	byte ptr [rax], al
0x237132e001e:	add	byte ptr [rax], al
0x237132e0020:	add	byte ptr [rax], al
0x237132e0022:	add	byte ptr [rax], al
0x237132e0024:	add	byte ptr [rax], al
0x237132e0026:	add	byte ptr [rax], al
0x237132e0028:	add	byte ptr [rax], al
0x237132e002a:	add	byte ptr [rax], al
0x237132e002c:	add	byte ptr [rax], al
0x237132e002e:	add	byte ptr [rax], al
0x237132e0030:	add	byte ptr [rax], al
0x237132e0032:	add	byte ptr [rax], al
0x237132e0034:	add	byte ptr [rax], al
0x237132e0036:	add	byte ptr [rax], al
0x237132e0038:	add	byte ptr [rax], al
0x237132e003a:	add	byte ptr [rax], al
0x237132e003c:	add	byte ptr [rax], al
0x237132e003e:	add	byte ptr [rax], al"
0,2320,MsMpEng.exe,0x237146c0000,0x237147ccfff,VadS,PAGE_EXECUTE_READWRITE,269,1,Disabled,N/A,"
cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc ................
cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc ................
cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc cc ................
cc 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................","
0x237146c0000:	int3	
0x237146c0001:	int3	
0x237146c0002:	int3	
0x237146c0003:	int3	
0x237146c0004:	int3	
0x237146c0005:	int3	
0x237146c0006:	int3	
0x237146c0007:	int3	
0x237146c0008:	int3	
0x237146c0009:	int3	
0x237146c000a:	int3	
0x237146c000b:	int3	
0x237146c000c:	int3	
0x237146c000d:	int3	
0x237146c000e:	int3	
0x237146c000f:	int3	
0x237146c0010:	int3	
0x237146c0011:	int3	
0x237146c0012:	int3	
0x237146c0013:	int3	
0x237146c0014:	int3	
0x237146c0015:	int3	
0x237146c0016:	int3	
0x237146c0017:	int3	
0x237146c0018:	int3	
0x237146c0019:	int3	
0x237146c001a:	int3	
0x237146c001b:	int3	
0x237146c001c:	int3	
0x237146c001d:	int3	
0x237146c001e:	int3	
0x237146c001f:	int3	
0x237146c0020:	int3	
0x237146c0021:	int3	
0x237146c0022:	int3	
0x237146c0023:	int3	
0x237146c0024:	int3	
0x237146c0025:	int3	
0x237146c0026:	int3	
0x237146c0027:	int3	
0x237146c0028:	int3	
0x237146c0029:	int3	
0x237146c002a:	int3	
0x237146c002b:	int3	
0x237146c002c:	int3	
0x237146c002d:	int3	
0x237146c002e:	int3	
0x237146c002f:	int3	
0x237146c0030:	int3	
0x237146c0031:	add	byte ptr [rax], al
0x237146c0033:	add	byte ptr [rax], al
0x237146c0035:	add	byte ptr [rax], al
0x237146c0037:	add	byte ptr [rax], al
0x237146c0039:	add	byte ptr [rax], al
0x237146c003b:	add	byte ptr [rax], al
0x237146c003d:	add	byte ptr [rax], al"
0,3444,smartscreen.ex,0x27d70090000,0x27d700f3fff,VadS,PAGE_EXECUTE_READWRITE,0,1,Disabled,N/A,"
55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 UUUUUUUUUUUUUUUU
55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 UUUUUUUUUUUUUUUU
55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 UUUUUUUUUUUUUUUU
55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 UUUUUUUUUUUUUUUU","
0x27d70090000:	push	rbp
0x27d70090001:	push	rbp
0x27d70090002:	push	rbp
0x27d70090003:	push	rbp
0x27d70090004:	push	rbp
0x27d70090005:	push	rbp
0x27d70090006:	push	rbp
0x27d70090007:	push	rbp
0x27d70090008:	push	rbp
0x27d70090009:	push	rbp
0x27d7009000a:	push	rbp
0x27d7009000b:	push	rbp
0x27d7009000c:	push	rbp
0x27d7009000d:	push	rbp
0x27d7009000e:	push	rbp
0x27d7009000f:	push	rbp
0x27d70090010:	push	rbp
0x27d70090011:	push	rbp
0x27d70090012:	push	rbp
0x27d70090013:	push	rbp
0x27d70090014:	push	rbp
0x27d70090015:	push	rbp
0x27d70090016:	push	rbp
0x27d70090017:	push	rbp
0x27d70090018:	push	rbp
0x27d70090019:	push	rbp
0x27d7009001a:	push	rbp
0x27d7009001b:	push	rbp
0x27d7009001c:	push	rbp
0x27d7009001d:	push	rbp
0x27d7009001e:	push	rbp
0x27d7009001f:	push	rbp
0x27d70090020:	push	rbp
0x27d70090021:	push	rbp
0x27d70090022:	push	rbp
0x27d70090023:	push	rbp
0x27d70090024:	push	rbp
0x27d70090025:	push	rbp
0x27d70090026:	push	rbp
0x27d70090027:	push	rbp
0x27d70090028:	push	rbp
0x27d70090029:	push	rbp
0x27d7009002a:	push	rbp
0x27d7009002b:	push	rbp
0x27d7009002c:	push	rbp
0x27d7009002d:	push	rbp
0x27d7009002e:	push	rbp
0x27d7009002f:	push	rbp
0x27d70090030:	push	rbp
0x27d70090031:	push	rbp
0x27d70090032:	push	rbp
0x27d70090033:	push	rbp
0x27d70090034:	push	rbp
0x27d70090035:	push	rbp
0x27d70090036:	push	rbp
0x27d70090037:	push	rbp
0x27d70090038:	push	rbp
0x27d70090039:	push	rbp
0x27d7009003a:	push	rbp
0x27d7009003b:	push	rbp
0x27d7009003c:	push	rbp
0x27d7009003d:	push	rbp
0x27d7009003e:	push	rbp
0x27d7009003f:	push	rbp"
0,424,taskhostw.exe,0x1d1c18f0000,0x1d1c18fffff,VadS,PAGE_EXECUTE_READWRITE,2,1,Disabled,N/A,"
00 00 00 00 00 00 00 00 14 ec ba e5 0a d3 00 01 ................
ee ff ee ff 02 00 00 00 20 01 8f c1 d1 01 00 00 ........ .......
20 01 8f c1 d1 01 00 00 00 00 8f c1 d1 01 00 00  ...............
00 00 8f c1 d1 01 00 00 0f 00 00 00 00 00 00 00 ................","
0x1d1c18f0000:	add	byte ptr [rax], al
0x1d1c18f0002:	add	byte ptr [rax], al
0x1d1c18f0004:	add	byte ptr [rax], al
0x1d1c18f0006:	add	byte ptr [rax], al
0x1d1c18f0008:	adc	al, 0xec
0x1d1c18f000a:	mov	edx, 0xd30ae5
0x1d1c18f000f:	add	esi, ebp"
0,424,taskhostw.exe,0x1d1c1950000,0x1d1c195ffff,VadS,PAGE_EXECUTE_READWRITE,2,1,Disabled,N/A,"
00 00 00 00 00 00 00 00 6c 6c d3 31 21 3b 00 01 ........ll.1!;..
ee ff ee ff 02 00 00 00 20 01 95 c1 d1 01 00 00 ........ .......
20 01 95 c1 d1 01 00 00 00 00 95 c1 d1 01 00 00  ...............
00 00 95 c1 d1 01 00 00 0f 00 00 00 00 00 00 00 ................","
0x1d1c1950000:	add	byte ptr [rax], al
0x1d1c1950002:	add	byte ptr [rax], al
0x1d1c1950004:	add	byte ptr [rax], al
0x1d1c1950006:	add	byte ptr [rax], al
0x1d1c1950008:	insb	byte ptr [rdi], dx
0x1d1c1950009:	insb	byte ptr [rdi], dx
0x1d1c195000a:	sal	dword ptr [rcx], cl
0x1d1c195000c:	and	dword ptr [rbx], edi
0x1d1c195000e:	add	byte ptr [rcx], al
0x1d1c1950010:	out	dx, al"
0,424,taskhostw.exe,0x7ff4e56b0000,0x7ff4e574ffff,VadS,PAGE_EXECUTE_READWRITE,2,1,Disabled,N/A,"
d8 ff ff ff ff ff ff ff 08 00 00 00 00 00 00 00 ................
01 00 00 00 00 00 00 00 00 02 0e 03 38 00 00 00 ............8...
68 01 d7 07 0c 00 00 00 d8 5d b7 cf fe 7f 00 00 h........]......
00 10 b5 cf fe 7f 00 00 08 4a ce cf fe 7f 00 00 .........J......","
0x7ff4e56b0000:	fdivr	st(7)"
0,7212,tzsync.exe,0x1be88860000,0x1be8886ffff,VadS,PAGE_EXECUTE_READWRITE,2,1,Disabled,N/A,"
00 00 00 00 00 00 00 00 7f ef 71 3b 88 5c 00 01 ..........q;.\\..
ee ff ee ff 02 00 00 00 20 01 86 88 be 01 00 00 ........ .......
20 01 86 88 be 01 00 00 00 00 86 88 be 01 00 00  ...............
00 00 86 88 be 01 00 00 0f 00 00 00 00 00 00 00 ................","
0x1be88860000:	add	byte ptr [rax], al
0x1be88860002:	add	byte ptr [rax], al
0x1be88860004:	add	byte ptr [rax], al
0x1be88860006:	add	byte ptr [rax], al
0x1be88860008:	jg	0x1be8885fff9
0x1be8886000a:	jno	0x1be88860047
0x1be8886000c:	mov	byte ptr [rax + rax + 1], bl
0x1be88860010:	out	dx, al"
0,7212,tzsync.exe,0x1bea1050000,0x1bea105ffff,VadS,PAGE_EXECUTE_READWRITE,2,1,Disabled,N/A,"
00 00 00 00 00 00 00 00 45 7e 38 b7 83 3a 00 01 ........E~8..:..
ee ff ee ff 02 00 00 00 20 01 05 a1 be 01 00 00 ........ .......
20 01 05 a1 be 01 00 00 00 00 05 a1 be 01 00 00  ...............
00 00 05 a1 be 01 00 00 0f 00 00 00 00 00 00 00 ................","
0x1bea1050000:	add	byte ptr [rax], al
0x1bea1050002:	add	byte ptr [rax], al
0x1bea1050004:	add	byte ptr [rax], al
0x1bea1050006:	add	byte ptr [rax], al
0x1bea1050008:	jle	0x1bea1050043
0x1bea105000b:	mov	bh, 0x83
0x1bea105000d:	cmp	al, byte ptr [rax]
0x1bea105000f:	add	esi, ebp"
0,7212,tzsync.exe,0x7ff47b190000,0x7ff47b22ffff,VadS,PAGE_EXECUTE_READWRITE,2,1,Disabled,N/A,"
d8 ff ff ff ff ff ff ff 08 00 00 00 00 00 00 00 ................
01 00 00 00 00 00 00 00 00 02 0e 03 38 00 00 00 ............8...
68 01 d7 07 0c 00 00 00 d8 5d b7 cf fe 7f 00 00 h........]......
00 10 b5 cf fe 7f 00 00 08 4a ce cf fe 7f 00 00 .........J......","
0x7ff47b190000:	fdivr	st(7)"
0,2836,ngentask.exe,0x19b0000,0x19bffff,VadS,PAGE_EXECUTE_READWRITE,1,1,Disabled,N/A,"
46 8f f3 26 6c bf 00 01 ee ff ee ff 02 00 00 00 F..&l...........
a4 00 9b 01 a4 00 9b 01 00 00 9b 01 00 00 9b 01 ................
0f 00 00 00 a8 04 9b 01 00 f0 9b 01 0e 00 00 00 ................
01 00 00 00 00 00 00 00 f0 0f 9b 01 f0 0f 9b 01 ................","
0x19b0000:	inc	esi"
